Número,Fecha de entrega,Fecha de cierre,Prioridad,Estado,Título,Cerrado por,Nombre de Aplicación,Categoría del sitio,Bdo Tipo de Solicitud,Tipo solici,Tipo de Solicitud
"RF778394","15/10/25 08:20:32","22/10/25 09:50:22","4 - Baja","Cerrado","Desbloquear firs data usuario","JSDIAZ","FIRST DATA","A","","",""
"RF778882","15/10/25 15:35:13","22/10/25 09:56:27","4 - Baja","Cerrado","DESBLOQUEO FIRST DATA","JSDIAZ","FIRST DATA","A","","",""
"RF778919","15/10/25 15:50:11","22/10/25 09:57:37","4 - Baja","Cerrado","desbloqueo y asignacion de nueva contraseña","JSDIAZ","FIRST DATA","A","","",""
"RF779074","15/10/25 17:27:31","24/10/25 10:30:57","4 - Baja","Cerrado","CREACION DE USUARIO FIRST DATA","JSDIAZ","FIRST DATA","B","","",""
"RF779326","16/10/25 09:59:04","16/10/25 11:47:09","4 - Baja","Cerrado","DESBLOQUEAR USUARIO","JSDIAZ","FIRST DATA","A","","",""
"RF779347","16/10/25 10:10:16","24/10/25 10:34:46","4 - Baja","Cerrado","Creacion de Usuario y Contraseña FirstData","JSDIAZ","FIRST DATA","A","","",""
"RF779469","16/10/25 11:35:38","22/10/25 09:58:53","4 - Baja","Cerrado","DESBLOQUEAR USUARIO Y CLAVE FIRST DATA","JSDIAZ","FIRST DATA","B","","",""
"RF779585","16/10/25 14:00:13","17/10/25 09:33:37","4 - Baja","Cerrado","firs data","JSDIAZ","FIRST DATA","A","","",""
"RF779600","16/10/25 14:18:33","17/10/25 10:05:59","4 - Baja","Cerrado","Desbloqueo First","JSDIAZ","FIRST DATA","A","","",""
"RF779625","16/10/25 14:32:00","22/10/25 09:59:53","4 - Baja","Cerrado","Desbloqueo Usuario First Data","JSDIAZ","FIRST DATA","A","","",""
"RF779628","16/10/25 14:33:09","20/10/25 08:18:27","4 - Baja","Cerrado","DESBLOQUEO USUARIO DE APLICATIVO FIRSTDATA","JSDIAZ","FIRST DATA","A","","",""
"RF779653","16/10/25 14:59:29","22/10/25 10:01:08","4 - Baja","Cerrado","DESBLOQUEAR USUARIO Y CAMBIO DE CONTRASEÑA DEL APLICATIVO FIRIST VISION","JSDIAZ","FIRST VISION","B","","",""
"RF779803","16/10/25 17:11:25","22/10/25 10:02:24","4 - Baja","Cerrado","DESBLOQUEO Y NUEVA CONTRASEÑA FIRST DATA FUNCIONARIO NEXA","JSDIAZ","FIRST DATA","A","","",""
"RF779820","16/10/25 17:31:40","22/10/25 10:03:33","4 - Baja","Cerrado","Solicitud Desbloqueo de Usuario First Vision Producción","JSDIAZ","FIRST VISION","A","","",""
